id,a0,a1,a2,a3,a4,
cero,12.51720,60.91520,30.10780,0,-1,
cero,12.72410,82.48460,32.21120,0,-1,
cero,12.85710,215.12000,32.28570,0,-1,
cero,14.64450,12.40980,36.08020,0,-1,
cero,12.07320,340.13800,30.00310,0,-1,
cero,13.37840,69.42410,31.97630,0,-1,
cero,13.95650,357.29400,37.22280,0,-1,
cero,11.36360,29.55480,37.18560,0,-1,
cero,12.33330,183.70600,38.05560,0,-1,
cero,11.64710,99.04620,38.05880,0,-1,
cero,12.31030,159.79900,31.03880,0,-1,
cero,12.12820,52.70810,34.40420,0,-1,
cero,14.29410,274.07400,40.48530,0,-1,
cero,11.48780,355.77000,35.14940,0,-1,
cero,12.52940,345.62700,30.13240,0,-1,
cero,11.47060,134.26600,32.13240,0,-1,
cero,11.92310,63.97860,32.00320,0,-1,
cero,13.60730,258.49800,32.00280,0,-1,
cero,12.00000,156.70400,31.00000,0,-1,
cero,13.26510,112.21300,34.81300,0,-1,
cero,13.28570,151.31800,32.64290,0,-1,
cero,12.85130,141.29300,35.97390,0,-1,
cero,11.75680,169.08900,33.03040,0,-1,
cero,14.36840,344.31600,38.48030,0,-1,
cero,12.40910,153.54100,39.10230,0,-1,
cero,14.37600,118.47000,39.83680,0,-1,
cero,11.09300,336.22700,31.49130,0,-1,
cero,14.14290,54.62250,36.78570,0,-1,
cero,13.06450,24.13020,31.48790,0,-1,
cero,12.33330,335.31500,37.05560,0,-1,
cero,10.71430,42.95390,30.48210,0,-1,
cero,14.29410,29.26480,33.24260,0,-1,
cero,12.75000,5.75468,31.31250,0,-1,
cero,12.71430,109.99500,31.14880,0,-1,
cero,14.81120,42.68410,35.94200,0,-1,
cero,11.91890,350.50000,34.00340,0,-1,
cero,14.17240,205.67000,34.90090,0,-1,
cero,10.94590,58.92140,31.57090,0,-1,
cero,11.02730,28.13750,31.42780,0,-1,
cero,13.65530,44.74470,37.98090,0,-1,
cero,14.48550,310.95400,38.00700,0,-1,
cero,12.10340,237.02900,31.00430,0,-1,
cero,14.25970,342.45800,35.21350,0,-1,
cero,12.94290,121.41300,30.43210,0,-1,
cero,13.06450,96.76550,31.48790,0,-1,
cero,12.06120,3.69601,38.00250,0,-1,
cero,12.78060,77.12680,32.45200,0,-1,
cero,13.65000,55.23680,34.51250,0,-1,
cero,12.90000,89.70580,33.22500,0,-1,
cero,12.18370,296.58900,42.02300,0,-1,
cero,13.57140,10.75340,31.72020,0,-1,
cero,13.32000,85.21840,32.60500,0,-1,
cero,13.02380,77.63090,32.09390,0,-1,
cero,12.92310,46.35690,31.30770,0,-1,
cero,12.84000,358.50400,37.24500,0,-1,
cero,15.09860,171.62700,37.71680,0,-1,
cero,11.65120,251.37000,41.07270,0,-1,
cero,14.79330,74.51510,32.69360,0,-1,
cero,14.68980,45.92120,42.24330,0,-1,
cero,13.40980,222.51600,38.20870,0,-1,
cero,14.40000,208.58900,36.40000,0,-1,
cero,10.19340,109.78300,30.91170,0,-1,
cero,11.80000,131.79400,33.01670,0,-1,
cero,12.46150,2.23011,30.07690,0,-1,
cero,12.18750,50.27690,33.01560,0,-1,
cero,11.27590,31.48520,30.21120,0,-1,
cero,12.36590,322.20100,35.07620,0,-1,
cero,14.66670,311.91800,32.77780,0,-1,
cero,12.17650,141.20000,31.01470,0,-1,
cero,11.48280,115.00800,34.10780,0,-1,
cero,13.21620,357.66000,36.76010,0,-1,
cero,11.64250,77.33660,65.08470,0,-1,
cero,12.14240,53.42040,36.08610,0,-1,
cero,12.64720,284.82900,31.22270,0,-1,
cero,13.87270,273.01000,39.58010,0,-1,
cero,12.45450,110.11900,32.09470,0,-1,
cero,12.24520,349.14100,32.03860,0,-1,
cero,12.53850,171.57400,33.15710,0,-1,
cero,13.90910,287.27300,34.11360,0,-1,
cero,13.30170,61.57820,30.59080,0,-1,
cero,13.21880,211.38200,33.58680,0,-1,
cero,15.62310,296.62800,37.96390,0,-1,
cero,12.52940,246.56100,33.13240,0,-1,
cero,15.49470,107.05000,40.07920,0,-1,
cero,12.95120,247.61700,64.51530,0,-1,
cero,11.92680,171.87900,32.00310,0,-1,
cero,12.30000,10.68630,30.02500,0,-1,
cero,12.63640,249.66800,33.18560,0,-1,
cero,13.84480,310.11200,40.18940,0,-1,
cero,11.75680,271.67200,30.03040,0,-1,
cero,14.04680,255.69700,31.38350,0,-1,
cero,13.77100,18.14340,35.20530,0,-1,
cero,14.21420,35.30960,31.48880,0,-1,
cero,14.11110,13.27980,40.67130,0,-1,
cero,12.14290,34.65790,31.00600,0,-1,
cero,12.24320,265.59300,30.03040,0,-1,
cero,13.33330,239.73800,33.88890,0,-1,
cero,12.47370,130.13800,40.11840,0,-1,
cero,13.79480,50.08070,37.79980,0,-1,
cero,15.00000,5.80988,49.12500,0,-1,
cero,16.09090,265.95700,36.11360,0,-1,
cero,12.77780,37.96630,35.22690,0,-1,
cero,11.81250,15.95330,31.01560,0,-1,
cero,12.51720,11.10320,33.10780,0,-1,
cero,14.03230,221.62000,36.77820,0,-1,
cero,12.63590,18.10250,44.25020,0,-1,
cero,12.12000,353.03400,30.00500,0,-1,
cero,13.36360,284.56400,36.56820,0,-1,
cero,11.80000,20.51700,38.01670,0,-1,
cero,13.00000,217.36100,39.62500,0,-1,
cero,14.52000,3.53179,35.20500,0,-1,
cero,11.18180,34.30630,33.20450,0,-1,
cero,12.80000,220.62600,30.26670,0,-1,
cero,13.00000,82.32980,36.41670,0,-1,
cero,11.32260,161.41700,30.19760,0,-1,
cero,14.28000,356.44800,39.80500,0,-1,
cero,11.40000,16.01630,45.20000,0,-1,
cero,14.19500,99.94280,50.31860,0,-1,
cero,12.60000,102.99200,31.15000,0,-1,
