id,a0,1,a2,a3,a4
cero,11.625,103.303,64.1563,0,-1
cero,14.625,62.417,79.0625,0,-1
cero,13.2273,41.5889,88.8409,0,-1
cero,12.6842,340.073,51.3706,0,-1
cero,12.488,19.8406,32.1609,0,-1
cero,14.3684,126.001,38.4803,0,-1
cero,12.5385,300.022,37.1571,0,-1
cero,11.1081,273.925,36.4088,0,-1
cero,15.6306,13.2044,86.4427,0,-1
cero,10.3846,80.1413,39.9423,0,-1
cero,8.4,247.205,39,0,-1
cero,11.4,99.5274,42.275,0,-1
cero,9.26087,65.0908,41.3967,0,-1
cero,13.08,51.8866,30.405,0,-1
cero,12.7273,115.49,88.4848,0,-1
cero,11.8085,42.0554,32.0239,0,-1
cero,13.1818,100.447,33.6402,0,-1
cero,13.8833,260.099,35.5737,0,-1
cero,14.4194,46.0008,46.5202,0,-1
cero,12.8464,333.871,45.4035,0,-1
cero,9.90909,126.738,38.0038,0,-1
cero,11.5851,162.984,30.0499,0,-1
cero,14.4134,295.834,35.1078,0,-1
cero,11.8889,119.966,40.0093,0,-1
cero,14.4556,81.4517,34.1185,0,-1
cero,13.6667,92.9194,42.3889,0,-1
cero,12.7674,77.9197,38.3517,0,-1
cero,12,306.23,33,0,-1
cero,12.2794,221.762,30.0298,0,-1
cero,12.1483,142.167,34.2428,0,-1
cero,14.8612,19.4916,33.5824,0,-1
cero,11.3442,77.3683,33.3299,0,-1
cero,14.4694,3.91261,39.1369,0,-1
cero,13.4444,259.715,33.7824,0,-1
cero,12.7895,21.8978,33.3289,0,-1
cero,11.7097,302.668,31.0363,0,-1
cero,13.3333,306.104,34.8889,0,-1
cero,12.8029,117.895,31.0706,0,-1
cero,14.4752,81.0066,44.0772,0,-1
cero,11.3333,104.111,31.2222,0,-1
cero,11.5714,306.912,36.0714,0,-1
cero,12.2571,249.645,33.0321,0,-1
cero,14.4914,239.398,34.2607,0,-1
cero,14.5802,204.186,34.4855,0,-1
cero,13.7127,313.351,34.2449,0,-1
cero,13,245.703,35.5417,0,-1
cero,13.5517,315.055,30.9698,0,-1
cero,14.4121,212.861,38.971,0,-1
cero,14.25,283.103,33.6875,0,-1
cero,11.625,278.324,33.0938,0,-1
cero,14.891,270.77,33.1282,0,-1
cero,11.449,267.082,35.2066,0,-1
cero,12.0508,132.244,41.0021,0,-1
cero,12.9429,35.1403,31.4321,0,-1
cero,15,256.871,33.125,0,-1
cero,12.5761,149.522,33.1547,0,-1
cero,14.4545,334.996,32.8409,0,-1
cero,13.8,161.486,36.575,0,-1
cero,14.7728,286.145,37.7562,0,-1
cero,11.5,270.021,32.0833,0,-1
cero,12.0698,330.752,34.0029,0,-1
cero,11.3684,168.285,30.2105,0,-1
cero,11.9268,31.3279,33.0031,0,-1
cero,12.6,17.4817,32.2083,0,-1
cero,11.7692,348.616,30.0288,0,-1
cero,12.9375,276.024,34.3906,0,-1
cero,13.1114,291.331,32.5758,0,-1
cero,11.4444,168.178,31.1157,0,-1
cero,13.2353,78.0892,36.7206,0,-1
cero,13.8,193.41,36.125,0,-1
cero,13.641,35.5145,45.5794,0,-1
cero,13.2,80.7962,44.8,0,-1
cero,13.433,2.74179,41.5222,0,-1
cero,11.1951,178.372,31.3689,0,-1
cero,13.6957,259.199,35.8164,0,-1
cero,13.1896,290.319,35.5369,0,-1
cero,11.1081,205.498,30.4088,0,-1
cero,12.4839,29.7099,30.1008,0,-1
cero,13.3,41.6165,39.0361,0,-1
cero,12.9,349.539,30.45,0,-1
cero,12.5455,10.8829,32.0909,0,-1
cero,13.9412,245.774,40.7794,0,-1
cero,12.375,235.484,34.0938,0,-1
cero,12.7297,125.207,39.2737,0,-1
cero,14.5096,130.922,42.2588,0,-1
cero,12.7742,223.287,36.3073,0,-1
cero,14,174.409,31.3333,0,-1
cero,13.2904,186.453,42.9379,0,-1
cero,13.0645,2.1751,30.4879,0,-1
cero,13.125,173.821,37.5625,0,-1
cero,11.2941,329.955,33.2353,0,-1
cero,13.6154,196.792,32.9423,0,-1
cero,14.005,120.511,31.2717,0,-1
cero,11.7429,291.032,33.0321,0,-1
cero,13.1538,288.314,31.4808,0,-1
cero,14.6,215.761,33.8167,0,-1
cero,13.5,3.59193,35,0,-1
cero,13.8,187.387,37.35,0,-1
cero,13.3037,186.487,30.7538,0,-1
cero,15.1414,1.48474,38.7493,0,-1
cero,12.8049,346.646,36.3689,0,-1
cero,13.2887,196.532,32.8036,0,-1
cero,12.7778,18.8514,32.2269,0,-1
cero,15,119.626,33.125,0,-1
cero,13.125,205.617,44.8438,0,-1
cero,12.45,3.51761,39.1125,0,-1
cero,13.0588,223.297,44.5294,0,-1
cero,14.1081,158.62,40.0301,0,-1
cero,13.3636,49.4798,31.8523,0,-1
cero,11.64,88.0777,42.09,0,-1
cero,11.7692,331.746,37.0481,0,-1
cero,12.3231,330.215,45.6212,0,-1
cero,13.1379,313.694,32.5215,0,-1
cero,14.1598,139.886,49.3974,0,-1
cero,12.8274,326.296,35.313,0,-1
cero,18,161.503,42.959,0,-1
cero,14.1767,303.38,31.7567,0,-1
cero,14.3279,96.4115,32.103,0,-1
cero,11.3721,34.0157,30.2355,0,-1
cero,14.4783,19.6815,31.962,0,-1
cero,11.25,254.23,30.1459,0,-1
cero,12.5496,135.977,36.0172,0,-1
cero,11.8741,244.986,61.2443,0,-1
cero,11.4,87.5581,30.2,0,-1
cero,12.1111,339.044,36.0093,0,-1
cero,11.9268,165.376,31.0031,0,-1
cero,13,241.318,30.4583,0,-1
cero,12.0909,140.109,33.0038,0,-1
cero,15.7826,269.718,39.5706,0,-1
cero,15.5833,21.0724,33.5757,0,-1
cero,11.6,304.606,30.0667,0,-1
cero,14.4783,98.5094,35.962,0,-1
cero,15.7065,268.033,41.2677,0,-1
cero,12.1429,134.966,34.0119,0,-1
cero,14.3984,38.9513,34.7324,0,-1
cero,13.7143,343.246,39.1429,0,-1
cero,13,283.959,38.5833,0,-1
cero,14.7391,24.3579,35.3967,0,-1
cero,14.5714,172.361,37.5714,0,-1
cero,14.2362,52.7854,40.0708,0,-1
cero,12.6923,52.8794,32.1731,0,-1
cero,12.1579,280.008,38.0132,0,-1
cero,11.1951,196.832,31.3689,0,-1
cero,14.6017,341.545,35.5175,0,-1
cero,14.625,14.2907,31.5313,0,-1
cero,11.9483,270.34,32.0014,0,-1
cero,13,192.436,36.375,0,-1
cero,13.5596,64.8391,44.2267,0,-1
cero,12.2723,99.6239,33.0623,0,-1
cero,12.2828,62.2648,31.262,0,-1
cero,13,180.309,30.4167,0,-1
cero,14.5064,342.534,34.7716,0,-1
cero,11.7429,142.51,40.0321,0,-1
cero,15,354.691,32.5,0,-1
cero,13.6452,17.0343,31.1653,0,-1
cero,12.6429,282.487,31.1607,0,-1
cero,14.3846,358.222,48.0801,0,-1
cero,13.721,26.1205,35.3751,0,-1
cero,14.2,242.555,44.0167,0,-1
cero,16.271,291.172,37.8749,0,-1
cero,12.9375,216.902,30.3906,0,-1
cero,12.4839,121.473,30.1008,0,-1
cero,11.1176,196.531,31.3676,0,-1
cero,12.2308,345.072,34.0288,0,-1
cero,13.8357,0.836009,37.6721,0,-1
cero,14.5773,129.637,31.2902,0,-1
cero,12.7241,129.804,36.2112,0,-1
cero,13.5316,269.945,33.9921,0,-1
cero,13.1739,216.358,33.4402,0,-1
cero,12.7297,3.28565,34.2737,0,-1
cero,13.6672,312.095,39.3401,0,-1
cero,13.5882,312.821,35.1912,0,-1
cero,13.3201,31.7042,32.6723,0,-1
cero,13.1107,144.446,35.5502,0,-1
cero,14.6191,26.1841,54.3645,0,-1
cero,14.5862,279.032,33.694,0,-1
cero,13.3208,153.071,31.5976,0,-1
cero,12.8826,305.254,31.1259,0,-1
cero,11.6341,49.664,30.0762,0,-1
cero,12.8824,162.179,32.3676,0,-1
cero,11.4706,222.173,32.1324,0,-1
cero,17.2821,63.6523,38.0183,0,-1
cero,12.7325,30.3784,32.0486,0,-1
cero,12.7895,282.278,36.3289,0,-1
cero,12.6,167.993,33.15,0,-1
cero,13.5789,18.462,35.3158,0,-1
cero,13.1429,153.509,43.7619,0,-1
cero,14.143,18.3576,36.0092,0,-1
cero,13.6154,296.802,33.9423,0,-1
cero,14.7692,28.789,36.7692,0,-1
cero,12.0811,231.48,30.0034,0,-1
cero,11.5181,154.716,34.7963,0,-1
cero,11.8652,333.285,32.01,0,-1
cero,15,250.26,35,0,-1
cero,13.6,10.3157,35.0667,0,-1
cero,13.3784,207.563,39.9763,0,-1
cero,12.4,37.2032,31.0667,0,-1
cero,12.6655,243.484,31.2114,0,-1
